B,P,C,X,N,Time
5,1,1,0,1,10.330277
5,1,5,0,1,10.321793
5,5,1,0,1,2.132035
5,5,5,0,1,2.123874
10,1,1,0,1,10.344550
10,1,5,0,1,10.371933
10,1,10,0,1,10.301396
10,5,1,0,1,2.117624
10,5,5,0,1,2.115872
10,5,10,0,1,2.095285
10,10,1,0,1,1.072153
10,10,5,0,1,1.077911
10,10,10,0,1,1.071046
5,1,1,200,1,10.528654
5,1,5,200,1,10.499342
5,5,1,200,1,10.264894
5,5,5,200,1,4.096075
10,1,1,200,1,10.484583
10,1,5,200,1,10.516102
10,1,10,200,1,10.514142
10,5,1,200,1,10.244206
10,5,5,200,1,2.304398
10,5,10,200,1,2.318348
10,10,1,200,1,10.265499
10,10,5,200,1,2.284361
10,10,10,200,1,2.079608
5,1,1,400,1,20.254764
5,1,5,400,1,10.688150
5,5,1,400,1,20.265974
5,5,5,400,1,6.091664
10,1,1,400,1,20.256153
10,1,5,400,1,10.712359
10,1,10,400,1,10.752152
10,5,1,400,1,20.289808
10,5,5,400,1,4.270268
10,5,10,400,1,3.305819
10,10,1,400,1,20.273733
10,10,5,400,1,4.246647
10,10,10,400,1,3.102692
